,2023-04-01 00:00:00,2023-04-02 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00,2023-04-07 00:00:00,Last 3 Days,Last 7 Days,name
621345,0,0,19,11,0,20,0,20,50,"Minter, A.J."
641729,8,0,0,16,0,0,20,20,44,"Jimenez, Joe"
543521,0,0,23,0,27,0,0,27,50,"McHugh, Collin"
445926,0,12,0,15,5,0,10,15,42,"Chavez, Jesse"
489446,11,0,0,16,0,21,0,21,48,"Yates, Kirby"
675911,96,0,0,0,0,101,0,101,197,"Strider, Spencer"
623433,10,0,28,0,0,17,0,17,55,"Anderson, Nick"
694363,0,79,0,0,0,0,91,91,170,"Shuster, Jared"
608331,0,0,0,0,0,0,0,0,0,"Fried, Max"
664849,0,0,0,0,0,0,0,0,0,"Young, Danny"
689266,0,0,0,73,0,0,0,0,73,"Dodd, Dylan"
476595,0,0,0,0,0,24,11,35,35,"Luetge, Lucas"
543859,0,36,0,0,17,0,33,50,86,"Tonkin, Michael"
450203,0,0,81,0,0,0,0,0,81,"Morton, Charlie"
669276,0,0,0,3,14,0,0,14,17,"Lee, Dylan"
693821,0,0,0,0,79,0,0,79,79,"Elder, Bryce"
