,player_id,player_name,throws
0,656578,"Jackson, Andre",R
10,663546,"Hjelle, Sean",R
26,622075,"Almonte, Yency",R
52,681911,"Vesia, Alex",L
82,573124,"Rogers, Taylor",L
101,628711,"Urias, Julio",L
112,657277,"Webb, Logan",R
291,625643,"Lopez, Reynaldo",R
307,663558,"Moran, Jovani",L
332,607481,"Bummer, Aaron",L
362,608665,"Graveman, Kendall",R
377,573204,"Thielbar, Caleb",L
387,669424,"Lambert, Jimmy",R
402,628317,"Maeda, Kenta",R
411,656302,"Cease, Dylan",R
583,664126,"Fairbanks, Pete",R
593,455119,"Martin, Chris",R
610,621363,"Poche, Colin",L
631,670174,"Winckowski, Josh",R
644,664076,"Cleavinger, Garrett",L
672,676596,"Fleming, Josh",L
683,601713,"Pivetta, Nick",R
787,656222,"Beeks, Jalen",L
829,661403,"Clase, Emmanuel",R
839,641656,"Hamilton, Ian",R
857,675916,"Karinchak, James",R
890,669456,"Bieber, Shane",R
899,605155,"Brewer, Colten",R
952,593334,"German, Domingo",R
1104,571882,"Law, Derek",R
1105,669276,"Lee, Dylan",L
1120,664747,"Diaz, Alexis",R
1137,621345,"Minter, A.J.",L
1157,665665,"Sanmartin, Reiver",L
1180,623433,"Anderson, Nick",R
1207,571656,"Farmer, Buck",R
1219,668933,"Ashcraft, Graham",R
1224,445926,"Chavez, Jesse",R
1233,693821,"Elder, Bryce",R
1428,642585,"Bautista, Felix",R
1444,642758,"Acevedo, Domingo",R
1471,672335,"Perez, Cionel",L
1488,667427,"Jackson, Zach",R
1507,641329,"Baker, Bryan",R
1516,502043,"Gibson, Kyle",R
1527,594580,"Moll, Sam",L
1535,544727,"Familia, Jeurys",R
1563,676664,"Sears, JP",L
1729,493603,"Ottavino, Adam",R
1747,593619,"Tapia, Domingo",R
1759,502085,"Robertson, David",R
1771,657612,"Hill, Tim",L
1780,506433,"Darvish, Yu",R
1792,622098,"Smith, Drew",R
1820,595928,"Curtiss, John",R
1860,453286,"Scherzer, Max",R
2020,607755,"Vasquez, Andrew",L
2035,656970,"Smeltzer, Devin",L
2095,686842,"Moore, McKinley",R
2164,645261,"Alcantara, Sandy",R
2170,621381,"Strahm, Matt",L
2300,661527,"Martinez, Seth",R
2314,642239,"Zastryzny, Rob",L
2323,664208,"Maton, Phil",R
2333,669796,"Hernandez, Jose",L
2346,664285,"Valdez, Framber",L
2401,640444,"Crowe, Wil",R
2481,672710,"Contreras, Roansy",R
2610,640448,"Finnegan, Kyle",R
2626,519043,"Moore, Matt",L
2637,605218,"Edwards Jr., Carl",R
2652,623474,"Herget, Jimmy",R
2666,640451,"Harvey, Hunter",R
2678,656353,"Davidson, Tucker",L
2701,666168,"Thompson, Mason",R
2727,571578,"Corbin, Patrick",L
2767,660761,"Suarez, Jose",L
2912,641540,"Dunning, Dane",R
2924,681987,"Eaton, Nate",R
2960,621016,"Cuas, Jose",R
2975,656271,"Burke, Brock",L
2997,669395,"Coleman, Dylan",R
3044,425844,"Greinke, Zack",R
3053,571760,"Heaney, Andrew",L
3226,664875,"Lawrence, Justin",R
3245,608717,"Stratton, Chris",R
3268,572403,"VerHagen, Drew",R
3291,668868,"Thompson, Zack",L
3293,608718,"Suter, Brent",L
3311,571927,"Matz, Steven",L
3349,608566,"Marquez, German",R
3475,666374,"Brash, Matt",R
3485,624522,"Thompson, Keegan",R
3512,623149,"Sewald, Paul",R
3524,605242,"Fulmer, Michael",R
3538,642100,"Speier, Gabe",L
3546,502202,"Boxberger, Brad",R
3559,623437,"Topa, Justin",R
3572,643410,"Leiter Jr., Mark",R
3583,640470,"Alzolay, Adbert",R
3586,622491,"Castillo, Luis",R
3625,592767,"Smyly, Drew",L
3763,605177,"Chafin, Andrew",L
3777,642770,"Guerra, Javy",R
3797,543518,"McGough, Scott",R
3813,669060,"Wilson, Bryse",R
3827,668678,"Gallen, Zac",R
3873,489119,"Miley, Wade",L
4033,592094,"Adam, Jason",R
4055,661309,"Martinez, Adrian",R
4076,657044,"Thompson, Ryan",R
4096,656876,"Rasmussen, Drew",R
4113,543507,"May, Trevor",R
4153,666204,"Jimenez, Dany",R
4160,621076,"Kaprielian, James",R
4326,445276,"Jansen, Kenley",R
4353,592741,"Shreve, Chasen",L
4388,622259,"Wingenter, Trey",R
4416,656638,"Lange, Alex",R
4435,670167,"Schreiber, John",R
4449,671345,"Foley, Jason",R
4462,676710,"Crawford, Kutter",R
4474,571510,"Boyd, Matthew",L
4604,670280,"Bednar, David",R
4617,518617,"Diekman, Jake",L
4627,670059,"Holderman, Colin",R
4656,664294,"Moreta, Dauri",R
4661,670912,"Oviedo, Johan",R
4676,656629,"Kopech, Michael",R
4852,664139,"Gibaut, Ian",R
4862,622554,"Dominguez, Seranthony",R
4891,643361,"Herget, Kevin",R
4908,518886,"Kimbrel, Craig",R
4943,621237,"Alvarado, Jose",L
4962,518585,"Cruz, Fernando",R
4977,642397,"Soto, Gregory",L
4995,656818,"Overton, Connor",R
5001,641401,"Brogdon, Connor",R
5011,592836,"Walker, Taijuan",R
5175,605280,"Holmes, Clay",R
5184,657508,"Baumann, Mike",R
5197,622772,"Cordero, Jimmy",R
5210,670810,"Gillaspie, Logan",R
5228,676760,"Marinaccio, Ron",R
5236,656061,"Abreu, Albert",R
5253,543056,"Coulombe, Danny",L
5274,641482,"Cortes, Nestor",L
5292,669330,"Wells, Tyler",R
5454,642207,"Williams, Devin",R
5468,664854,"Helsley, Ryan",R
5484,571948,"Milner, Hoby",L
5489,456713,"Bush, Matt",R
5518,663855,"Hicks, Jordan",R
5525,669467,"Pallante, Andre",R
5542,657265,"Strzelecki, Peter",R
5568,650893,"Cabrera, Genesis",L
5573,642547,"Peralta, Freddy",R
5592,663765,"Woodford, Jake",R
5768,519151,"Pressly, Ryan",R
5778,641941,"Pagan, Emilio",R
5795,650556,"Abreu, Bryan",R
5827,660896,"Alcala, Jorge",R
5851,686613,"Brown, Hunter",R
5896,641816,"Mahle, Tyler",R
6059,622503,"Crismatt, Nabil",R
6071,664849,"Young, Danny",L
6137,641729,"Jimenez, Joe",R
6153,607625,"Lugo, Seth",R
6172,476595,"Luetge, Lucas",L
6232,689266,"Dodd, Dylan",L
6388,640462,"Puk, A.J.",L
6399,642701,"Santana, Dennis",R
6420,571670,"Floro, Dylan",R
6432,668665,"Nogosek, Stephen",R
6461,608638,"Chargois, JT",R
6487,656945,"Scott, Tanner",L
6516,666129,"Garrett, Braxton",L
6531,471911,"Carrasco, Carlos",R
6686,682171,"Murfee, Penn",R
6692,682120,"Herrin, Tim",L
6696,680704,"Sandlin, Nick",R
6714,656266,"Bukauskas, J.B.",R
6746,660853,"De Los Santos, Enyel",R
6786,663986,"Stephan, Trevor",R
6858,641627,"Gott, Trevor",R
6887,650895,"Castillo, Diego",R
6902,668676,"Plesac, Zach",R
6915,669923,"Kirby, George",R
7089,572955,"Johnson, Pierce",R
7107,665048,"Harris, Hobie",R
7141,659275,"Lamet, Dinelson",R
7161,541640,"Ramirez, Erasmo",R
7181,641771,"Kuhl, Chad",R
7190,543272,"Hand, Brad",L
7202,656234,"Bird, Jake",R
7229,663372,"Feltner, Ryan",R
7386,641835,"Mayza, Tim",L
7389,670950,"Richards, Trevor",R
7411,608032,"Estevez, Carlos",R
7436,605447,"Romano, Jordan",R
7467,642545,"Barria, Jaime",R
7481,657024,"Swanson, Erik",R
7504,554340,"Garcia, Yimi",R
7521,571901,"Loup, Aaron",L
7536,572193,"Tepera, Ryan",R
7552,643256,"Cimber, Adam",R
7566,681806,"Wantz, Andrew",R
7587,672282,"Detmers, Reid",L
7601,647315,"Pop, Zach",R
7609,579328,"Kikuchi, Yusei",L
7783,643511,"Rogers, Tyler",R
7789,642232,"Yarbrough, Ryan",L
7807,605154,"Brebbia, John",R
7830,672578,"Hernandez, Carlos",R
7846,518397,"Alexander, Scott",L
7859,543101,"DeSclafani, Anthony",R
7864,663460,"Bubic, Kris",L
8023,600917,"Leclerc, Jose",R
8041,657240,"Merryweather, Julian",R
8050,666142,"Ragans, Cole",L
8060,665871,"Assad, Javier",R
8074,519293,"Smith, Will",L
8104,592351,"Gray, Jon",R
8151,592791,"Taillon, Jameson",R
8307,656981,"Solomon, Peter",R
8328,641360,"Bickford, Phil",R
8377,672841,"Vargas, Carlos",R
8393,571946,"Miller, Shelby",R
8405,669194,"Nelson, Ryne",R
8431,657571,"Ferguson, Caleb",L
8466,675627,"Grove, Michael",R
8611,547973,"Chapman, Aroldis",L
8625,666808,"Doval, Camilo",R
8639,664199,"Clarke, Taylor",R
8667,548389,"Stripling, Ross",R
8688,607237,"Garrett, Amir",L
8721,663903,"Singer, Brady",R
8734,640455,"Manaea, Sean",L
8876,621074,"Rucker, Michael",R
8908,621368,"Hearn, Taylor",L
9010,453178,"Kennedy, Ian",R
9023,657006,"Steele, Justin",L
9040,527048,"Perez, Martin",L
9287,666157,"Lodolo, Nick",L
9321,571479,"Bellatti, Andrew",R
9353,663559,"Falter, Bailey",L
9501,518489,"Brasier, Ryan",R
9528,656716,"McKinstry, Zach",R
9550,672391,"Ort, Kaleb",R
9573,641302,"Alexander, Tyler",L
9594,677161,"Kelly, Zack",R
9653,656557,"Houck, Tanner",R
9659,682051,"Hill, Garrett",R
9761,666214,"Wentz, Joey",L
9817,661395,"Duran, Jhoan",R
9840,669854,"Blanco, Ronel",R
9870,643377,"Jax, Griffin",R
9882,592773,"Stanek, Ryne",R
9891,605347,"Lopez, Jorge",R
9924,657746,"Ryan, Joe",R
9957,677651,"Garcia, Luis",R
10098,687330,"Kelly, Kevin",R
10111,542208,"Perez, Carlos",R
10150,605488,"Springs, Jeffrey",L
10222,660261,"Fujinami, Shintaro",R
10398,593974,"Peralta, Wandy",L
10416,669211,"Akin, Keegan",L
10430,650633,"King, Michael",R
10447,608723,"Voth, Austin",R
10486,666745,"Brito, Jhony",R
10517,608344,"Irvin, Cole",L
10755,670036,"Festa, Matt",R
10769,669212,"Morgan, Eli",R
10787,594835,"Gonzales, Marco",L
10836,615698,"Quantrill, Cal",R
11048,621249,"Underwood Jr., Duane",R
11077,523260,"Kelly, Joe",R
11087,605182,"Clevinger, Mike",R
11099,608328,"De Jong, Chase",R
11192,592826,"Velasquez, Vince",R
11334,598264,"Barnes, Matt",R
11350,548384,"Raley, Brooks",L
11384,677053,"Nardi, Andrew",L
11404,623211,"Brazoban, Huascar",R
11414,673540,"Senga, Kodai",R
11442,669432,"Rogers, Trevor",L
11610,606303,"Payamps, Joel",R
11669,656756,"Montgomery, Jordan",L
11702,681402,"Varland, Gus",R
11768,641778,"Lauer, Eric",L
11906,623352,"Hader, Josh",L
11935,489446,"Yates, Kirby",R
11966,472610,"Garcia, Luis",R
11993,621051,"Wilson, Steven",R
12025,608379,"Wacha, Michael",R
12079,450203,"Morton, Charlie",R
12260,607455,"Banda, Anthony",L
12339,657756,"Seabold, Connor",R
12362,592866,"Williams, Trevor",R
12411,596295,"Gomber, Austin",L
12563,542914,"Bass, Anthony",R
12587,650671,"Quijada, Jose",L
12680,621244,"Berrios, Jose",R
12693,542881,"Anderson, Tyler",L
12844,666818,"Frias, Luis",R
12907,660813,"Graterol, Brusdar",R
12923,656464,"Ginkel, Kevin",R
12943,669459,"Nelson, Kyle",L
12983,605200,"Davies, Zach",R
12991,592789,"Syndergaard, Noah",R
13141,660593,"Reyes, Denyi",R
13151,641447,"Castano, Daniel",L
13270,656731,"Megill, Tylor",R
13352,665795,"Cabrera, Edward",R
13605,665152,"Kremer, Dean",R
13639,657376,"Schmidt, Clarke",R
13887,622065,"Young, Alex",L
13918,554430,"Wheeler, Zack",R
13941,668881,"Greene, Hunter",R
14177,593576,"Neris, Hector",R
14207,606160,"Montero, Rafael",R
14217,543243,"Gray, Sonny",R
14242,664353,"Urquidy, Jose",R
14424,605130,"Barlow, Scott",R
14499,502171,"Cobb, Alex",R
14519,641745,"Keller, Brad",R
14723,669947,"Scholtens, Jesse",R
14884,448179,"Hill, Rich",L
14894,608337,"Giolito, Lucas",R
15049,670124,"Oller, Adam",R
15060,676534,"Faucher, Calvin",R
15110,621107,"Eflin, Zach",R
15192,686610,"Waldichuk, Ken",L
15320,675540,"Curry, Xzavion",R
15337,662253,"Munoz, Andres",R
15418,650644,"Civale, Aaron",R
15478,669302,"Gilbert, Logan",R
15673,641703,"Honeywell, Brent",R
15719,543859,"Tonkin, Michael",R
15743,607259,"Martinez, Nick",R
15783,694363,"Shuster, Jared",L
16030,543135,"Eovaldi, Nathan",R
16046,573186,"Stroman, Marcus",R
16221,676050,"Naughton, Packy",L
16346,605540,"Woodruff, Brandon",R
16354,656427,"Flaherty, Jack",R
16604,669022,"Gore, MacKenzie",L
16639,621389,"Blach, Ty",L
16717,570632,"Urena, Jose",R
16845,612434,"Castro, Miguel",R
16903,686753,"Jameson, Drey",R
16918,477132,"Kershaw, Clayton",L
16957,518516,"Bumgarner, Madison",L
17200,605135,"Bassitt, Chris",R
17218,663776,"Sandoval, Patrick",L
17422,669438,"Englert, Mason",R
17483,542585,"Cisnero, Jose",R
17519,605513,"Turnbull, Spencer",R
17534,519242,"Sale, Chris",L
17665,607461,"Beaty, Matt",R
17687,593643,"Alberto, Hanser",R
17720,666619,"Santos, Gregory",R
17735,596001,"Junis, Jakob",R
17783,614179,"Ruiz, Jose",R
17841,458681,"Lynn, Lance",R
17871,622072,"Wood, Alex",L
18104,592332,"Gausman, Kevin",R
18147,543475,"Lyles, Jordan",R
18319,623465,"Phillips, Evan",R
18430,669160,"May, Dustin",R
18452,518876,"Kelly, Merrill",R
18667,607536,"Freeland, Kyle",L
18678,680686,"Gray, Josiah",R
19034,675911,"Strider, Spencer",R
19064,605483,"Snell, Blake",L
19267,663658,"Ward, Thaddeus",R
19320,663556,"McClanahan, Shane",L
19541,542947,"Bleier, Richard",L
19560,656605,"Keller, Mitch",R
19666,446372,"Kluber, Corey",R
19852,641154,"Lopez, Pablo",R
19866,666200,"Luzardo, Jesus",L
20066,642528,"Loaisiga, Jonathan",R
20112,605400,"Nola, Aaron",R
20121,543037,"Cole, Gerrit",R
20428,656849,"Peterson, David",L
20435,669203,"Burnes, Corbin",R
20620,543521,"McHugh, Collin",R
20743,571945,"Mikolas, Miles",R
21019,664299,"Javier, Cristian",R
21047,593958,"Rodriguez, Eduardo",L
21574,642546,"Hernandez, Jonathan",R
21645,594798,"deGrom, Jacob",R
21664,680570,"Rodriguez, Grayson",R
21872,666201,"Manoah, Alek",R
22178,660271,"Ohtani, Shohei",R
22230,623167,"Flexen, Chris",R
22573,683769,"Gaddis, Hunter",R
22584,666205,"Muller, Kyle",L
23121,669270,"Kuhnel, Joel",R
23207,570666,"Cessa, Luis",R
23223,669713,"Wesneski, Hayden",R
24475,606149,"Gallegos, Giovanny",R
26310,666159,"Manning, Matt",R
27065,641645,"Guillorme, Luis",R
27138,488984,"Hunter, Tommy",R
27671,663485,"Sands, Cole",R
27676,607732,"Stallings, Jacob",R
27773,689167,"Lindgren, Jeff",R
27917,456501,"Cueto, Johnny",R
28765,680694,"Bradish, Kyle",R
28926,628708,"Marte, Yunior",R
29846,642121,"Sulser, Cole",R
29913,677960,"Weathers, Ryan",L
38711,543281,"Harrison, Josh",R
41367,592662,"Ray, Robbie",L
42315,608331,"Fried, Max",L
